,code,name,is_exist
295,1120011000,서울특별시 성동구 금호동2가,존재
296,1120011100,서울특별시 성동구 금호동3가,존재
297,1120011200,서울특별시 성동구 금호동4가,존재
298,1120011300,서울특별시 성동구 옥수동,존재
299,1120011400,서울특별시 성동구 성수동1가,존재
300,1120011500,서울특별시 성동구 성수동2가,존재
303,1120011800,서울특별시 성동구 송정동,존재
307,1120012200,서울특별시 성동구 용답동,존재
332,1121500000,서울특별시 광진구,존재
333,1121510100,서울특별시 광진구 중곡동,존재
334,1121510200,서울특별시 광진구 능동,존재
335,1121510300,서울특별시 광진구 구의동,존재
336,1121510400,서울특별시 광진구 광장동,존재
337,1121510500,서울특별시 광진구 자양동,존재
339,1121510700,서울특별시 광진구 화양동,존재
341,1121510900,서울특별시 광진구 군자동,존재
342,1123000000,서울특별시 동대문구,존재
365,1123010100,서울특별시 동대문구 신설동,존재
366,1123010200,서울특별시 동대문구 용두동,존재
367,1123010300,서울특별시 동대문구 제기동,존재
368,1123010400,서울특별시 동대문구 전농동,존재
369,1123010500,서울특별시 동대문구 답십리동,존재
370,1123010600,서울특별시 동대문구 장안동,존재
371,1123010700,서울특별시 동대문구 청량리동,존재
372,1123010800,서울특별시 동대문구 회기동,존재
373,1123010900,서울특별시 동대문구 휘경동,존재
374,1123011000,서울특별시 동대문구 이문동,존재
399,1126000000,서울특별시 중랑구,존재
400,1126010100,서울특별시 중랑구 면목동,존재
401,1126010200,서울특별시 중랑구 상봉동,존재
402,1126010300,서울특별시 중랑구 중화동,존재
403,1126010400,서울특별시 중랑구 묵동,존재
404,1126010500,서울특별시 중랑구 망우동,존재
405,1126010600,서울특별시 중랑구 신내동,존재
422,1129000000,서울특별시 성북구,존재
438,1129010100,서울특별시 성북구 성북동,존재
439,1129010200,서울특별시 성북구 성북동1가,존재
440,1129010300,서울특별시 성북구 돈암동,존재
441,1129010400,서울특별시 성북구 동소문동1가,존재
442,1129010500,서울특별시 성북구 동소문동2가,존재
443,1129010600,서울특별시 성북구 동소문동3가,존재
444,1129010700,서울특별시 성북구 동소문동4가,존재
445,1129010800,서울특별시 성북구 동소문동5가,존재
446,1129010900,서울특별시 성북구 동소문동6가,존재
447,1129011000,서울특별시 성북구 동소문동7가,존재
448,1129011100,서울특별시 성북구 삼선동1가,존재
449,1129011200,서울특별시 성북구 삼선동2가,존재
450,1129011300,서울특별시 성북구 삼선동3가,존재
451,1129011400,서울특별시 성북구 삼선동4가,존재
452,1129011500,서울특별시 성북구 삼선동5가,존재
453,1129011600,서울특별시 성북구 동선동1가,존재
454,1129011700,서울특별시 성북구 동선동2가,존재
455,1129011800,서울특별시 성북구 동선동3가,존재
456,1129011900,서울특별시 성북구 동선동4가,존재
457,1129012000,서울특별시 성북구 동선동5가,존재
458,1129012100,서울특별시 성북구 안암동1가,존재
459,1129012200,서울특별시 성북구 안암동2가,존재
460,1129012300,서울특별시 성북구 안암동3가,존재
461,1129012400,서울특별시 성북구 안암동4가,존재
462,1129012500,서울특별시 성북구 안암동5가,존재
463,1129012600,서울특별시 성북구 보문동4가,존재
464,1129012700,서울특별시 성북구 보문동5가,존재
465,1129012800,서울특별시 성북구 보문동6가,존재
466,1129012900,서울특별시 성북구 보문동7가,존재
467,1129013000,서울특별시 성북구 보문동1가,존재
468,1129013100,서울특별시 성북구 보문동2가,존재
469,1129013200,서울특별시 성북구 보문동3가,존재
470,1129013300,서울특별시 성북구 정릉동,존재
471,1129013400,서울특별시 성북구 길음동,존재
472,1129013500,서울특별시 성북구 종암동,존재
473,1129013600,서울특별시 성북구 하월곡동,존재
474,1129013700,서울특별시 성북구 상월곡동,존재
475,1129013800,서울특별시 성북구 장위동,존재
476,1129013900,서울특별시 성북구 석관동,존재
503,1130500000,서울특별시 강북구,존재
504,1130510100,서울특별시 강북구 미아동,존재
505,1130510200,서울특별시 강북구 번동,존재
506,1130510300,서울특별시 강북구 수유동,존재
507,1130510400,서울특별시 강북구 우이동,존재
508,1132000000,서울특별시 도봉구,존재
518,1132010500,서울특별시 도봉구 쌍문동,존재
519,1132010600,서울특별시 도봉구 방학동,존재
520,1132010700,서울특별시 도봉구 창동,존재
521,1132010800,서울특별시 도봉구 도봉동,존재
548,1135000000,서울특별시 노원구,존재
550,1135010200,서울특별시 노원구 월계동,존재
551,1135010300,서울특별시 노원구 공릉동,존재
552,1135010400,서울특별시 노원구 하계동,존재
553,1135010500,서울특별시 노원구 상계동,존재
554,1135010600,서울특별시 노원구 중계동,존재
573,1138000000,서울특별시 은평구,존재
574,1138010100,서울특별시 은평구 수색동,존재
575,1138010200,서울특별시 은평구 녹번동,존재
576,1138010300,서울특별시 은평구 불광동,존재
577,1138010400,서울특별시 은평구 갈현동,존재
578,1138010500,서울특별시 은평구 구산동,존재
579,1138010600,서울특별시 은평구 대조동,존재
580,1138010700,서울특별시 은평구 응암동,존재
581,1138010800,서울특별시 은평구 역촌동,존재
582,1138010900,서울특별시 은평구 신사동,존재
583,1138011000,서울특별시 은평구 증산동,존재
587,1138011400,서울특별시 은평구 진관동,존재
597,1141000000,서울특별시 서대문구,존재
635,1141010100,서울특별시 서대문구 충정로2가,존재
636,1141010200,서울특별시 서대문구 충정로3가,존재
637,1141010300,서울특별시 서대문구 합동,존재
638,1141010400,서울특별시 서대문구 미근동,존재
639,1141010500,서울특별시 서대문구 냉천동,존재
640,1141010600,서울특별시 서대문구 천연동,존재
641,1141010700,서울특별시 서대문구 옥천동,존재
642,1141010800,서울특별시 서대문구 영천동,존재
643,1141010900,서울특별시 서대문구 현저동,존재
644,1141011000,서울특별시 서대문구 북아현동,존재
645,1141011100,서울특별시 서대문구 홍제동,존재
646,1141011200,서울특별시 서대문구 대현동,존재
647,1141011300,서울특별시 서대문구 대신동,존재
648,1141011400,서울특별시 서대문구 신촌동,존재
649,1141011500,서울특별시 서대문구 봉원동,존재
650,1141011600,서울특별시 서대문구 창천동,존재
651,1141011700,서울특별시 서대문구 연희동,존재
652,1141011800,서울특별시 서대문구 홍은동,존재
653,1141011900,서울특별시 서대문구 북가좌동,존재
654,1141012000,서울특별시 서대문구 남가좌동,존재
673,1144000000,서울특별시 마포구,존재
678,1144010100,서울특별시 마포구 아현동,존재
679,1144010200,서울특별시 마포구 공덕동,존재
680,1144010300,서울특별시 마포구 신공덕동,존재
681,1144010400,서울특별시 마포구 도화동,존재
682,1144010500,서울특별시 마포구 용강동,존재
683,1144010600,서울특별시 마포구 토정동,존재
684,1144010700,서울특별시 마포구 마포동,존재
685,1144010800,서울특별시 마포구 대흥동,존재
686,1144010900,서울특별시 마포구 염리동,존재
687,1144011000,서울특별시 마포구 노고산동,존재
688,1144011100,서울특별시 마포구 신수동,존재
689,1144011200,서울특별시 마포구 현석동,존재
690,1144011300,서울특별시 마포구 구수동,존재
691,1144011400,서울특별시 마포구 창전동,존재
692,1144011500,서울특별시 마포구 상수동,존재
693,1144011600,서울특별시 마포구 하중동,존재
694,1144011700,서울특별시 마포구 신정동,존재
695,1144011800,서울특별시 마포구 당인동,존재
